OID_,title,SymbolID,ORIG_FID,X,Y
1,Line,Override 1,1,29.76467429,45.33801386
2,Line,Override 1,1,29.75540457,45.3398238
3,Line,Override 1,1,29.74664984,45.3404271
4,Line,Override 1,1,29.74143234,45.34078664
5,Line,Override 1,1,29.73749244,45.34155589
6,Line,Override 1,1,29.73221754,45.34142164
7,Line,Override 1,1,29.72182157,45.34461545
8,Line,Override 1,1,29.71598837,45.3475193
9,Line,Override 1,1,29.71281665,45.34909815
10,Line,Override 1,1,29.70312524,45.35035883
11,Line,Override 1,1,29.69746886,45.34977745
12,Line,Override 1,1,29.69412146,45.34881232
13,Line,Override 1,1,29.69100714,45.3475978
14,Line,Override 1,1,29.68899673,45.34681377
15,Line,Override 1,1,29.68330224,45.34666885
16,Line,Override 1,1,29.67780309,45.34704775
17,Line,Override 1,1,29.67271307,45.34652455
18,Line,Override 1,1,29.66830734,45.34582551
19,Line,Override 1,1,29.66416655,45.34362449
20,Line,Override 1,1,29.66057853,45.34171722
21,Line,Override 1,1,29.65781363,45.34024746
22,Line,Override 1,1,29.65374431,45.33982912
23,Line,Override 1,1,29.65017695,45.34052565
