"ID","Class","Sex","Age","State","Spawnsite","AdultOrDead","X_Coord","Y_Coord","Strategy"
2701,"subadult","M",624,"Feeding",17,4091,29.78996033,45.10510288,"S"
2702,"subadult","F",637,"Feeding",19,5103,30.24231302,45.30143869,"S"
2703,"subadult","F",611,"Feeding",9,5312,28.98815186,44.41483784,"W"
2704,"subadult","M",637,"Feeding",21,4320,29.92469926,44.69600953,"S"
2705,"subadult","M",633,"Feeding",7,3910,29.62637813,44.36169391,"W"
2706,"subadult","M",636,"Feeding",13,4339,29.61438736,44.07271103,"S"
2707,"subadult","F",588,"Feeding",14,5177,29.9270363,44.71451797,"S"
2708,"subadult","F",619,"Feeding",8,5245,29.21608913,44.5290533,"W"
2709,"subadult","M",602,"Feeding",8,4284,29.74017775,44.23774261,"W"
2710,"subadult","F",610,"Feeding",21,5028,29.50144373,44.33492245,"S"
2711,"subadult","M",635,"Feeding",9,4000,30.339,44.94108641,"W"
2712,"subadult","F",610,"Feeding",16,4930,29.03013618,44.21155905,"S"
2713,"subadult","M",630,"Feeding",9,4355,29.43862405,44.39395282,"W"
2714,"subadult","F",625,"Feeding",13,5181,29.85781289,44.44556077,"S"
2715,"subadult","F",632,"Feeding",14,5165,30.38463826,44.34830179,"S"
2716,"subadult","M",606,"Feeding",17,4680,29.70739222,45.03138659,"S"
2717,"subadult","M",635,"Feeding",9,4219,29.89969018,44.72268348,"W"
2718,"subadult","F",632,"Feeding",6,5121,29.55745304,44.61911363,"W"
2719,"subadult","F",625,"Feeding",12,5181,29.82157752,44.56404552,"S"
2720,"subadult","M",587,"Feeding",9,4182,29.81910556,44.79768751,"W"
2721,"subadult","M",628,"Feeding",7,4134,29.8933697,45.00460959,"W"
2722,"subadult","M",628,"Feeding",12,3821,29.65218193,44.23225155,"S"
2723,"subadult","M",631,"Feeding",15,4175,29.84441585,45.08935031,"S"
2724,"subadult","M",586,"Feeding",7,4144,29.80676567,44.30089238,"W"
2725,"subadult","F",599,"Feeding",20,5099,29.3310314,44.30690632,"S"
2726,"subadult","M",599,"Feeding",6,3968,30.16714641,45.46411829,"W"
2727,"subadult","M",611,"Feeding",19,4404,30.45127326,44.57227755,"S"
2728,"subadult","F",580,"Feeding",5,5086,29.96308727,45.18059254,"W"
2729,"subadult","M",598,"Feeding",22,4015,29.28041053,44.56921633,"S"
2730,"subadult","M",635,"Feeding",9,4131,30.2858815,44.25225078,"W"
2731,"subadult","F",586,"Feeding",22,5187,29.10470897,44.32965806,"S"
2732,"subadult","M",586,"Feeding",8,4171,29.99597664,45.02764775,"W"
2733,"subadult","F",611,"Feeding",6,5175,29.89036867,44.58750405,"W"
2734,"subadult","M",616,"Feeding",16,3940,29.8809961,45.26586071,"S"
2735,"subadult","F",625,"Feeding",6,4939,30.00573712,45.49427575,"W"
2736,"subadult","M",628,"Feeding",7,4294,29.28070391,44.40066441,"W"
2737,"subadult","M",596,"Feeding",8,4352,29.93919258,45.35473804,"W"
2738,"subadult","M",620,"Feeding",10,4342,29.89877264,45.36630987,"W"
2739,"subadult","M",614,"Feeding",6,4498,30.56229094,44.83520021,"W"
2740,"subadult","M",621,"Feeding",16,4001,29.43870045,44.62770326,"S"
2741,"subadult","F",591,"Feeding",7,5168,30.53545444,44.5102083,"W"
2742,"subadult","M",594,"Feeding",11,3947,30.04310913,44.73065476,"S"
2743,"subadult","F",588,"Feeding",22,5022,29.64427641,44.77544295,"S"
2744,"subadult","M",585,"Feeding",12,3947,30.11443176,45.27748552,"S"
2745,"subadult","F",594,"Feeding",11,5191,30.25086586,45.03441779,"S"
2746,"subadult","F",608,"Feeding",3,5030,29.81513188,45.21967364,"W"
2747,"subadult","F",629,"Feeding",1,4827,30.56897898,44.95060285,"W"
2748,"subadult","F",586,"Feeding",3,4913,30.06020427,44.39861926,"W"
2749,"subadult","F",587,"Feeding",19,5090,30.11385634,45.25194204,"S"
2750,"subadult","M",607,"Feeding",2,4360,30.46025464,44.58320069,"W"
2751,"subadult","M",579,"Feeding",4,4394,29.99147221,44.2062188,"W"
