OID_,title,SymbolID,ORIG_FID,X,Y
1,Line,Override 1,1,29.73600684,45.22151313
2,Line,Override 1,1,29.71849738,45.233724
3,Line,Override 1,1,29.70271209,45.24473021
4,Line,Override 1,1,29.69038027,45.25332703
5,Line,Override 1,1,29.68296347,45.2604337
6,Line,Override 1,1,29.67798529,45.26877035
7,Line,Override 1,1,29.67678366,45.27952162
8,Line,Override 1,1,29.6721488,45.29015008
9,Line,Override 1,1,29.66940222,45.29896536
10,Line,Override 1,1,29.67008887,45.30693417
11,Line,Override 1,1,29.66420427,45.31678053
12,Line,Override 1,1,29.65866418,45.32947626
13,Line,Override 1,1,29.6533464,45.33837073
14,Line,Override 1,1,29.65013383,45.34060673
