"ID","Class","Sex","Age","State","Spawnsite","AdultOrDead","X_Coord","Y_Coord","Strategy"
210,"adult","F",17016,"Wintering",4,19297.2433696274,25.023333,43.727083,"W"
211,"adult","F",5180,"Feeding",4,12884.7587843709,30.6203901,44.96943144,"W"
212,"adult","F",12267,"Feeding",10,16194.8804480208,30.13384798,45.23162104,"W"
213,"adult","F",10867,"Feeding",23,10873.8597565209,30.37396267,44.90711069,"S"
214,"adult","F",7611,"Feeding",17,8275.27223078813,29.73101731,45.16960108,"S"
215,"adult","F",5060,"Feeding",3,5220.43625767945,30.33891915,44.8716826,"W"
216,"adult","F",7344,"Feeding",5,8014.88731482904,29.88193344,45.14844446,"W"
217,"adult","F",7388,"Feeding",22,12031.3485406877,29.54028007,44.44437516,"S"
218,"adult","F",7969,"Feeding",5,14097.3394802099,29.3395696,44.11489198,"W"
219,"adult","M",6027,"Feeding",11,6066.6094070564,30.09135703,44.92911571,"S"
220,"adult","M",5554,"Feeding",17,7446.94668422026,30.46305382,44.98437184,"S"
221,"adult","F",7087,"Feeding",3,10108.0676105302,29.35034992,44.41204466,"W"
222,"adult","M",11663,"Feeding",17,11973.0541702031,29.06144111,44.60336677,"S"
223,"adult","M",12496,"Feeding",19,12954.3063814665,30.35092438,44.91774211,"S"
224,"adult","M",4133,"Feeding",7,7602.76147371235,29.80716603,44.88532097,"W"
225,"adult","F",9982,"Feeding",17,10597.0950319367,29.03119168,44.18774701,"S"
226,"adult","M",4597,"Feeding",7,5356.02656207653,30.31757903,44.6498537,"W"
227,"adult","M",5631,"Feeding",13,9563.09896662831,29.68444998,44.39805489,"S"
228,"adult","M",8098,"Feeding",22,8850.35880076629,29.72647095,44.12432952,"S"
229,"adult","M",4323,"Wintering",5,11467.1531222971,25.708919,43.695656,"W"
230,"adult","M",6843,"Feeding",21,8041.04417120329,29.57374205,44.36176688,"S"
231,"adult","F",12358,"Feeding",14,15561.4691874066,29.72906513,44.16895106,"S"
232,"adult","M",12104,"Feeding",11,15623.328986439,29.56010722,44.36129972,"S"
233,"adult","M",12488,"Feeding",11,20884.7129899731,29.93933058,44.70049873,"S"
234,"adult","M",13324,"Feeding",17,14324.661473604,30.04289306,45.05320764,"S"
235,"adult","M",7407,"Feeding",9,7718.31487525038,29.69948295,45.07625165,"W"
236,"adult","F",5512,"Feeding",9,5597.63603613172,29.47558343,44.70196483,"W"
237,"adult","M",4447,"Feeding",21,4516.48926642444,29.20997442,44.39789483,"S"
238,"adult","F",6394,"Feeding",13,10595.3203586703,29.31075178,44.32735511,"S"
239,"adult","M",6877,"Feeding",8,14045.2793005883,30.53735385,44.6915534,"W"
240,"adult","M",8739,"Feeding",23,14592.9618734309,30.20241185,45.11860108,"S"
241,"adult","M",12095,"Feeding",13,29469.4700897658,30.50865267,44.87278116,"S"
242,"adult","M",6375,"Feeding",4,9949.77687210077,29.87566815,44.74970267,"W"
243,"adult","F",7002,"Feeding",4,7138.6886474504,29.83887902,45.23643953,"W"
244,"adult","M",7946,"Wintering",10,9196.53695283824,27.805513,44.325592,"W"
245,"adult","M",4687,"Feeding",16,7129.84184990288,29.57949764,44.12147819,"S"
246,"adult","M",11098,"Feeding",5,16100.641296656,29.2651817,44.41568297,"W"
247,"adult","M",3641,"Feeding",8,6335.46872556605,30.38240148,44.43666327,"W"
248,"adult","M",8066,"Feeding",11,21253.8828815057,29.40996427,44.29862478,"S"
249,"adult","F",5424,"Feeding",13,8299.32453405112,29.7931771,45.10085615,"S"
250,"adult","M",5047,"Feeding",19,7652.6616599781,28.95967152,44.23606395,"S"
